OBJECTID,REG,DISTRICT,NAME,EMU_NAME,HARVTYPE,AREA_AC,AREA_KM,AREA_MI,DEERWEBPAGE,ELKWEBPAGE,Shape__Area,Shape__Length,GlobalID,MAPLINK
2995,4,416,416,Little Belts,Variable,418364,1693.05816614,653.69341257,Coming Soon,Coming Soon,3609346354.35938,369076.77486146,88eda2e4-6f09-417d-bd18-f40228c4d0c9,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd416.pdf
2996,2,261,261,Rock Creek,Variable,137273,555.52305698,214.48865145,Coming Soon,Coming Soon,1164882052.82813,199107.432308019,94d9bd6a-de79-493c-b192-63794b9d8548,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd261.pdf
2997,3,391,391,Bridger,Variable,302372,1223.6576265,472.45685097,Coming Soon,Coming Soon,2579160103.44531,375634.569543557,e9ce264b-ab84-47a5-b242-d986a099c5d3,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd391.pdf
2998,2,201,201,Ninemile,Variable,668845,2706.72058873,1045.07066201,Coming Soon,Coming Soon,5826329870.5625,737047.559694287,bc095acd-1d2e-4249-95c8-ff8d58f5cfcc,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd201.pdf
2999,4,455,455,Devil's Kitchen,Variable,41954,169.7811359,65.55286306,Coming Soon,Coming Soon,364395501.28125,109911.351018596,2c7f9675-9471-4f53-8fb2-34a09ddd74a0,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd455.pdf
3000,4,441,441,Bob Marshall Wilderness Complex,Variable,380987,1541.79863236,595.29178007,Coming Soon,Coming Soon,3451709263.78125,307253.1672349,7f4cfb12-636b-41f4-b7ea-e55f95b8f307,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd441.pdf
3001,4,452,452,Castle Mountains,Variable,216489,876.09873272,338.26361184,Coming Soon,Coming Soon,1849208846.53125,187249.708511607,cbe56bcc-7c04-43d8-94cf-c327a85119cf,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd452.pdf
3002,7,703,703,Hi-Line,Variable,3493293,14136.8555548,5458.27044542,Coming Soon,Coming Soon,30534653849.6016,860230.743196733,c620c539-684a-446c-b965-9a9df068d24b,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd703.pdf
3003,6,690,690,Bears Paw,Variable,2557112,10348.26499546,3995.48745244,Coming Soon,Coming Soon,23294970204.0469,1342835.82656271,95503d6f-ffc1-46c9-8b5f-5ec1938a18d3,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd690.pdf
3004,4,421,421,Birdtail Hills,Variable,518265,2097.34452522,809.7892485,Coming Soon,Coming Soon,4560276559.32813,343012.481872511,1b9170af-0455-4089-9906-442d69fb8920,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd421.pdf
3005,3,393,393,Bridger,Variable,395126,1599.02015537,617.38513362,Coming Soon,Coming Soon,3305147934.40625,367027.276852533,3cc282eb-0afd-449b-8447-c4b61729a14c,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd393.pdf
3006,3,302,302,Tendoy,Variable,383510,1552.00848166,599.23382492,Coming Soon,Coming Soon,3080429215.17188,276313.436236473,45090cb6-6565-44b8-b2e6-6bc09f8c687e,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd302.pdf
3007,5,565,565,Absaroka,Variable,131020,530.21771809,204.71820548,Coming Soon,Coming Soon,1072869851.72656,174114.739888882,10600957-b16b-4cb6-a41d-deaa22d6a2d4,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd565.pdf
3008,6,622,622,Missouri Rivers Breaks,Variable,460437,1863.3243215,719.43354269,Coming Soon,Coming Soon,4126474202.83594,580736.752098104,39b39cca-756f-4285-ae39-ab7ac9fb4340,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd622.pdf
3009,2,270,270,Sapphire,Variable,424844,1719.28329074,663.81898979,Coming Soon,Coming Soon,3560566085.82031,364256.975645935,6edaaf84-fe4a-46f9-8317-8529d60a0b48,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd270.pdf
3010,2,260,260,Bitterroot,Variable,98901,400.23900098,154.53314223,Coming Soon,Coming Soon,850893015.179688,406300.66575445,feff1112-59dc-4947-9720-0b631242e4e9,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd260.pdf
3011,4,424,424,Bob Marshall Wilderness Complex,Variable,60705,245.66243923,94.85079807,Coming Soon,Coming Soon,537811663.039063,133942.9959618,f069cc41-7558-4667-9606-dcd6d81dae37,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd424.pdf
3012,4,400,400,Golden Triangle,Variable,1210034,4896.83415517,1890.67823758,Coming Soon,Coming Soon,11040346296.1797,596299.15487576,46f3c204-5399-42e2-9214-d7c89b243c15,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd400.pdf
3013,5,540,540,Little Belts,Variable,373219,1510.36186588,583.15397667,Coming Soon,Coming Soon,3200743285.22656,252957.897920159,0e8057be-2301-4d2f-a21d-360bcfed281f,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd540.pdf
3014,3,309,309,Gallatin/Madison,Variable,110484,447.11171516,172.63079836,Coming Soon,Coming Soon,917162735.375,189723.459706596,f194cc96-cf84-431e-85e7-1c0cf23b56d2,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd309.pdf
3015,2,290,290,Garnet,Variable,33726,136.48430126,52.69688333,Coming Soon,Coming Soon,292989074.8125,82139.9001472686,327422c5-3133-4bca-8a9d-49010aa64380,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd290.pdf
3016,7,704,704,Custer Forest,Variable,3474786,14061.95958434,5429.35294956,Coming Soon,Coming Soon,28903161966.6992,1163956.64511339,28e8a48b-cdc2-4fb0-ae88-7aa8d9ae95fa,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd704.pdf
3017,5,575,575,Mid-Yellowstone,Variable,524158,2121.19310836,818.99723793,Coming Soon,Coming Soon,4321704539.81641,430548.758993645,476c8d1a-a271-43ad-86a9-1bb9c38b7186,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd575.pdf
3018,2,292,292,Garnet,Variable,309755,1253.53250294,483.99160525,Coming Soon,Coming Soon,2680652269.34375,338898.810053365,853716d2-f9b7-43ed-8e92-8b74cd4719bc,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd292.pdf
3019,2,213,213,Flint Creek,Variable,317147,1283.4477152,495.54193328,Coming Soon,Coming Soon,2692956050.69531,263624.813529079,441b1b54-e0a0-4864-bb81-e9ad4a490a28,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd213.pdf
3020,3,331,331,Pioneer,Variable,871114,3525.2717486,1361.11503176,Coming Soon,Coming Soon,7187187161.39063,356266.564989482,ff61b91a-cca6-43a0-a2e4-ee6af1fcd54f,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd331.pdf
3021,3,318,318,Deer Lodge,Variable,176040,712.40986222,275.06298561,Coming Soon,Coming Soon,1491975535.59375,240404.014323894,4e1c3761-2d01-4088-86b5-b729ebbb28af,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd318.pdf
3022,1,150,150,Bob Marshall Wilderness Complex,Variable,747939,3026.80343435,1168.65533964,Coming Soon,Coming Soon,6676180729.10156,628242.466582012,9d55bc9f-9f57-4d70-9e0c-52fc87d48bd6,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd150.pdf
3023,2,212,212,Flint Creek,Variable,85155,344.6081937,133.05396746,Coming Soon,Coming Soon,723741676.515625,156198.517509682,96e6775d-1042-4f5a-aaac-6be139b40c61,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd212.pdf
3024,4,447,447,Highwood,Variable,565470,2288.37555849,883.5467428,Coming Soon,Coming Soon,5015749156.45313,360225.65628366,67fb3d69-c55a-416f-b181-c8b03f8b0f49,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd447.pdf
3025,3,350,350,Highland,Variable,225185,911.29013602,351.85108862,Coming Soon,Coming Soon,1894224468.20313,191959.452262233,0da0fa16-91ec-47b9-99e7-f8788438dda3,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd350.pdf
3026,1,120,120,Salish,Variable,315450,1276.58282351,492.89138378,Coming Soon,Coming Soon,2851690173.5625,303248.384293882,9315fb0b-0342-4b6b-b987-84ce333f7db4,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd120.pdf
3027,1,140,140,Bob Marshall Wilderness Complex,Variable,561780,2273.44271277,877.78113884,Coming Soon,Coming Soon,5097929094.97656,487394.850823241,84dce480-057c-4531-8346-65a67a6718f6,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd140.pdf
3028,2,250,250,West Fork,Variable,355100,1437.03797854,554.84346549,Coming Soon,Coming Soon,2947942013.78125,281653.467825136,aa4d325f-4644-4b4e-9c0d-c32b3088026c,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd250.pdf
3029,7,701,701,Missouri Rivers Breaks,Variable,4619819,18695.74336437,7218.46686948,Coming Soon,Coming Soon,39877491916.4688,896241.593499561,521c17e7-eeb5-449a-93d0-3ae42a8f1a7d,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd701.pdf
3030,2,204,204,Rock Creek,Variable,257923,1043.77815345,403.00499814,Coming Soon,Coming Soon,2217326090.45313,256975.245423672,3d7e768e-4bd5-4ff2-b3e5-8236005e5206,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/hdmaps/deerelk/deerelkhd204.pdf
3031,1,,FLATHEAD INDIAN RESERVATION,NA,Indian Reservation,1317893,5333.32385208,2059.20785176,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,11691902620.7578,618638.799851962,3aea2444-ed91-4cd2-9c9a-b1c0a6650a5e,
3032,4,,GLACIER NATIONAL PARK,NA,No Harvest Allowed,1006774,4074.26818258,1573.08373998,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,9342363901.25,509304.348825126,a5e8f4d5-bf08-408d-ae62-1cf5b8216c4f,
3033,1,,FLATHEAD LAKE,NA,No Harvest Allowed for this Species,57583,233.03147207,89.97395438,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,520214710.101563,156970.948797141,f484a30a-bc45-433f-a1b8-722aa3cff0bb,
3034,4,,BLACKFEET INDIAN RESERVATION,NA,Indian Reservation,1535102,6212.33845809,2398.59728858,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,14232392820.6328,562114.255774116,e94b54d2-5716-4b70-9a54-e2db3679479f,
3035,6,,ROCKY BOY'S INDIAN RESERVATION,NA,Indian Reservation,111262,450.26233992,173.84726138,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,1016321059.33594,452938.904255629,dcf2a3bf-09f3-42aa-bb91-0fef9be604e6,
3036,3,,HOLTER LAKE/HAUSER LAKE,Granite Butte,No Harvest Allowed for this Species,7505,30.3719763,11.72668561,Hunting not allowed in this area or hunting in this area is not administered by FWP.,Hunting not allowed in this area or hunting in this area is not administered by FWP.,64955638.7109375,224791.456545866,e3d0deec-e028-4779-89cf-3689977ffcc6,
